Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Alcohol use disorder,Being unable to limit the amount of alcohol you drink,Wanting to cut down on how much you drink or making unsuccessful attempts to do so,"Spending a lot of time drinking, getting alcohol or recovering from alcohol use",Feeling a strong craving or urge to drink alcohol,"Failing to fulfill major obligations at work, school or home due to repeated alcohol use","Continuing to drink alcohol even though you know it's causing physical, social or interpersonal problems",Giving up or reducing social and work activities and hobbies,"Using alcohol in situations where it's not safe, such as when driving or swimming",Developing a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amount,"Experiencing withdrawal symptoms — such as nausea, sweating and shaking — when you don't drink, or drinking to avoid these symptoms",,,,,,,
Alcohol use disorder,"Alcohol intoxication results as the amount of alcohol in your bloodstream increases. The higher the blood alcohol concentration is, the more impaired you become. Alcohol intoxication causes behavior problems and mental changes. These may include inappropriate behavior, unstable moods, impaired judgment, slurred speech, impaired attention or memory, and poor coordination. You can also have periods called ""blackouts,"" where you don't remember events. Very high blood alcohol levels can lead to coma or even death.","Alcohol withdrawal can occur when alcohol use has been heavy and prolonged and is then stopped or greatly reduced. It can occur within several hours to four or five days later. Signs and symptoms include sweating, rapid heartbeat, hand tremors, problems sleeping, nausea and vomiting, hallucinations, restlessness and agitation, anxiety, and occasionally seizures. Symptoms can be severe enough to impair your ability to function at work or in social situations.","Spending a lot of time drinking, getting alcohol or recovering from alcohol use",Feeling a strong craving or urge to drink alcohol,"Failing to fulfill major obligations at work, school or home due to repeated alcohol use","Continuing to drink alcohol even though you know it's causing physical, social or interpersonal problems",Giving up or reducing social and work activities and hobbies,"Using alcohol in situations where it's not safe, such as when driving or swimming",Developing a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amount,"Experiencing withdrawal symptoms — such as nausea, sweating and shaking — when you don't drink, or drinking to avoid these symptoms",,,,,,,
Alcohol use disorder,12 ounces (355 milliliters) of regular beer (about 5 percent alcohol),8 to 9 ounces (237 to 266 milliliters) of malt liquor (about 7 percent alcohol),5 ounces (148 milliliters) of unfortified wine (about 12 percent alcohol),1.5 ounces (44 milliliters) of 80-proof hard liquor (about 40 percent alcohol),"Failing to fulfill major obligations at work, school or home due to repeated alcohol use","Continuing to drink alcohol even though you know it's causing physical, social or interpersonal problems",Giving up or reducing social and work activities and hobbies,"Using alcohol in situations where it's not safe, such as when driving or swimming",Developing a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amount,"Experiencing withdrawal symptoms — such as nausea, sweating and shaking — when you don't drink, or drinking to avoid these symptoms",,,,,,,
Albinism,Freckles,"Moles, with or without pigment — moles without pigment are generally pink-colored",Large freckle-like spots (lentigines),Sunburn and the inability to tan,,,,,,,,,,,,,
Albinism,"Rapid, involuntary back-and-forth movement of the eyes (nystagmus)","Head movements, such as bobbing or tilting the head, to try to reduce the involuntary eye movements and see better",Inability of both eyes to stay directed at the same point or to move in unison (strabismus),Extreme nearsightedness or farsightedness,Sensitivity to light (photophobia),"Abnormal curvature of the front surface of the eye or the lens inside the eye (astigmatism), which causes blurred vision","Abnormal development of the retina, resulting in reduced vision",Nerve signals from the retina to the brain that don't follow the usual nerve pathways (misrouting of the optic nerve),Poor depth perception,Legal blindness (vision less than 20/200) or complete blindness,,,,,,,
Anxiety disorders,"Feeling nervous, restless or tense","Having a sense of impending danger, panic or doom",Having an increased heart rate,Breathing rapidly (hyperventilation),Sweating,Trembling,Feeling weak or tired,Trouble concentrating or thinking about anything other than the present worry,Having trouble sleeping,Experiencing gastrointestinal (GI) problems,Having difficulty controlling worry,Having the urge to avoid things that trigger anxiety,,,,,
Anxiety disorders,"Agoraphobia (ag-uh-ruh-FOE-be-uh) is a type of anxiety disorder in which you fear and often avoid places or situations that might cause you to panic and make you feel trapped, helpless or embarrassed.",Anxiety disorder due to a medical condition includes symptoms of intense anxiety or panic that are directly caused by a physical health problem.,"Generalized anxiety disorder includes persistent and excessive anxiety and worry about activities or events — even ordinary, routine issues. The worry is out of proportion to the actual circumstance, is difficult to control and affects how you feel physically. It often occurs along with other anxiety disorders or depression.","Panic disorder involves repeated episodes of sudden feelings of intense anxiety and fear or terror that reach a peak within minutes (panic attacks). You may have feelings of impending doom, shortness of breath, chest pain, or a rapid, fluttering or pounding heart (heart palpitations). These panic attacks may lead to worrying about them happening again or avoiding situations in which they've occurred.","Selective mutism is a consistent failure of children to speak in certain situations, such as school, even when they can speak in other situations, such as at home with close family members. This can interfere with school, work and social functioning.",Separation anxiety disorder is a childhood disorder characterized by anxiety that's excessive for the child's developmental level and related to separation from parents or others who have parental roles.,"Social anxiety disorder (social phobia) involves high levels of anxiety, fear and avoidance of social situations due to feelings of embarrassment, self-consciousness and concern about being judged or viewed negatively by others.",Specific phobias are characterized by major anxiety when you're exposed to a specific object or situation and a desire to avoid it. Phobias provoke panic attacks in some people.,"Substance-induced anxiety disorder is characterized by symptoms of intense anxiety or panic that are a direct result of misusing drugs, taking medications, being exposed to a toxic substance or withdrawal from drugs. ",Other specified anxiety disorder and unspecified anxiety disorder are terms for anxiety or phobias that don't meet the exact criteria for any other anxiety disorders but are significant enough to be distressing and disruptive.,Having difficulty controlling worry,Having the urge to avoid things that trigger anxiety,,,,,
Anxiety disorders,"You feel like you're worrying too much and it's interfering with your work, relationships or other parts of your life","Your fear, worry or anxiety is upsetting to you and difficult to control","You feel depressed, have trouble with alcohol or drug use, or have other mental health concerns along with anxiety",You think your anxiety could be linked to a physical health problem,"You have suicidal thoughts or behaviors — if this is the case, seek emergency treatment immediately",Separation anxiety disorder is a childhood disorder characterized by anxiety that's excessive for the child's developmental level and related to separation from parents or others who have parental roles.,"Social anxiety disorder (social phobia) involves high levels of anxiety, fear and avoidance of social situations due to feelings of embarrassment, self-consciousness and concern about being judged or viewed negatively by others.",Specific phobias are characterized by major anxiety when you're exposed to a specific object or situation and a desire to avoid it. Phobias provoke panic attacks in some people.,"Substance-induced anxiety disorder is characterized by symptoms of intense anxiety or panic that are a direct result of misusing drugs, taking medications, being exposed to a toxic substance or withdrawal from drugs. ",Other specified anxiety disorder and unspecified anxiety disorder are terms for anxiety or phobias that don't meet the exact criteria for any other anxiety disorders but are significant enough to be distressing and disruptive.,Having difficulty controlling worry,Having the urge to avoid things that trigger anxiety,,,,,
Dust mite allergy,Sneezing,Runny nose,"Itchy, red or watery eyes",Nasal congestion,"Itchy nose, roof of mouth or throat",Postnasal drip,Cough,Facial pressure and pain,"Swollen, blue-colored skin under your eyes","In a child, frequent upward rubbing of the nose",,,,,,,
Dust mite allergy,Difficulty breathing,Chest tightness or pain,An audible whistling or wheezing sound when exhaling,"Trouble sleeping caused by shortness of breath, coughing or wheezing",Bouts of coughing or wheezing that are worsened by a respiratory virus such as a cold or the flu,Postnasal drip,Cough,Facial pressure and pain,"Swollen, blue-colored skin under your eyes","In a child, frequent upward rubbing of the nose",,,,,,,
Heart arrhythmia,A fluttering in your chest,A racing heartbeat (tachycardia),A slow heartbeat (bradycardia),Chest pain,Shortness of breath,,,,,,,,,,,,
Heart arrhythmia,Anxiety,Fatigue,Lightheadedness or dizziness,Sweating,Fainting (syncope) or near fainting,,,,,,,,,,,,
Heart arrhythmia,Call 911 or the emergency number in your area.,"If there's no one nearby trained in cardiopulmonary resuscitation (CPR), provide hands-only CPR. That means uninterrupted chest compressions at a rate of 100 to 120 a minute until paramedics arrive. To do chest compressions, push hard and fast in the center of the chest. You don't need to do rescue breathing.","If you or someone nearby knows CPR, begin providing it if it's needed. CPR can help maintain blood flow to the organs until an electrical shock (defibrillation) can be given.","
Find out if an automated external defibrillator (AED) is available nearby. These portable defibrillators, which can deliver an electric shock that may restart heartbeats, are available in an increasing number of places, such as in airplanes, police cars and shopping malls. They can even be purchased for your home.
No training is required. The AED will tell you what to do. It's programmed to allow a shock only when appropriate.
",Fainting (syncope) or near fainting,,,,,,,,,,,,
Amniotic fluid embolism,Sudden shortness of breath,Excess fluid in the lungs (pulmonary edema),Sudden low blood pressure,Sudden failure of the heart to effectively pump blood (cardiovascular collapse),Life-threatening problems with blood clotting (disseminated intravascular coagulopathy),"Bleeding from the uterus, cesarean incision or intravenous (IV) sites","Altered mental status, such as anxiety or a sense of doom",Chills,Rapid heart rate or disturbances in the rhythm of the heart rate,"Fetal distress, such as a slow heart rate, or other fetal heart rate abnormalities",Seizures,Loss of consciousness,,,,,
Atelectasis,Difficulty breathing,"Rapid, shallow breathing",Wheezing,Cough,,,,,,,,,,,,,
Alpha-gal syndrome,"Hives, itching, or itchy, scaly skin (eczema)","Swelling of the lips, face, tongue and throat, or other body parts",Wheezing or shortness of breath,A runny nose,"Stomach pain, diarrhea, nausea or vomiting",Sneezing,Headaches,"A severe, potentially deadly allergic reaction that restricts breathing(anaphylaxis)",,,,,,,,,
Alpha-gal syndrome,Difficulty breathing,"Rapid, weak pulse",Dizziness or lightheadedness,Drooling and inability to swallow,Full-body redness and warmth (flushing),Sneezing,Headaches,"A severe, potentially deadly allergic reaction that restricts breathing(anaphylaxis)",,,,,,,,,
Guillain-Barre syndrome,"Prickling, pins and needles sensations in your fingers, toes, ankles or wrists",Weakness in your legs that spreads to your upper body,Unsteady walking or inability to walk or climb stairs,"Difficulty with facial movements, including speaking, chewing or swallowing",Double vision or inability to move eyes,"Severe pain that may feel achy, shooting or cramplike and may be worse at night",Difficulty with bladder control or bowel function,Rapid heart rate,Low or high blood pressure,Difficulty breathing,,,,,,,
Guillain-Barre syndrome,"Acute inflammatory demyelinating polyradiculoneuropathy (AIDP), the most common form in North America and Europe. The most common sign of AIDP is muscle weakness that starts in the lower part of your body and spreads upward.","Miller Fisher syndrome (MFS), in which paralysis starts in the eyes. MFS is also associated with unsteady gait. MFS is less common in the U.S. but more common in Asia.","Acute motor axonal neuropathy (AMAN) and acute motor-sensory axonal neuropathy (AMSAN) are less common in the U.S. But AMAN and AMSAN are more frequent in China, Japan and Mexico.","Difficulty with facial movements, including speaking, chewing or swallowing",Double vision or inability to move eyes,"Severe pain that may feel achy, shooting or cramplike and may be worse at night",Difficulty with bladder control or bowel function,Rapid heart rate,Low or high blood pressure,Difficulty breathing,,,,,,,
Guillain-Barre syndrome,Tingling that started in your feet or toes and is now moving up your body,Tingling or weakness that's spreading rapidly,Difficulty catching your breath or shortness of breath when lying flat,Choking on saliva,Double vision or inability to move eyes,"Severe pain that may feel achy, shooting or cramplike and may be worse at night",Difficulty with bladder control or bowel function,Rapid heart rate,Low or high blood pressure,Difficulty breathing,,,,,,,
Mesenteric lymphadenitis,"Abdominal pain, often centered on the lower right side, but the pain can be more widespread",General abdominal tenderness,Fever,Mesenteric lymph node enlargement,,,,,,,,,,,,,
Mesenteric lymphadenitis,Diarrhea,Nausea and vomiting,Fever,Mesenteric lymph node enlargement,,,,,,,,,,,,,
Mesenteric lymphadenitis,"Sudden, severe abdominal pain",Abdominal pain with fever,Abdominal pain with diarrhea or vomiting,Mesenteric lymph node enlargement,,,,,,,,,,,,,
Mesenteric lymphadenitis,Abdominal pain with a change in bowel habits,Abdominal pain with loss of appetite,Abdominal pain that interferes with sleep,Mesenteric lymph node enlargement,,,,,,,,,,,,,
Ambiguous genitalia,"An enlarged clitoris, which may resemble a penis","Closed labia, or labia that include folds and resemble a scrotum",Lumps that feel like testes in the fused labia,,,,,,,,,,,,,,
Ambiguous genitalia,A condition in which the narrow tube that carries urine and semen (urethra) doesn't fully extend to the tip of the penis (hypospadias),An abnormally small penis with the urethral opening closer to the scrotum,The absence of one or both testicles in what appears to be the scrotum,Undescended testicles and an empty scrotum that has the appearance of a labia with or without a micropenis,,,,,,,,,,,,,
Autonomic neuropathy,"Dizziness and fainting when standing, caused by a sudden drop in blood pressure.","Urinary problems, such as difficulty starting urination, incontinence, difficulty sensing a full bladder and inability to completely empty the bladder, which can lead to urinary tract infections.","Sexual difficulties, including problems achieving or maintaining an erection (erectile dysfunction) or ejaculation problems in men. In women, problems include vaginal dryness, low libido and difficulty reaching orgasm.","Difficulty digesting food, such as feeling full after a few bites of food, loss of appetite, diarrhea, constipation, abdominal bloating, nausea, vomiting, difficulty swallowing and heartburn, all due to changes in digestive function.","Inability to recognize low blood sugar (hypoglycemia), because the warning signals, such as getting shaky, aren't there.","Sweating abnormalities, such as sweating too much or too little, which affect the ability to regulate body temperature.","Sluggish pupil reaction, making it difficult to adjust from light to dark and seeing well when driving at night.","Exercise intolerance, which can occur if your heart rate stays the same instead of adjusting to your activity level.",,,,,,,,,
Wet macular degeneration,"Visual distortions, such as straight lines seeming bent",Reduced central vision in one or both eyes,The need for brighter light when reading or doing close-up work,"Increased difficulty adapting to low light levels, such as when entering a dimly lit restaurant",Increased blurriness of printed words,Decreased intensity or brightness of colors,Difficulty recognizing faces,A well-defined blurry spot or blind spot in your field of vision,,,,,,,,,
Wet macular degeneration,You notice changes in your central vision,Your ability to see colors and fine detail becomes impaired,The need for brighter light when reading or doing close-up work,"Increased difficulty adapting to low light levels, such as when entering a dimly lit restaurant",Increased blurriness of printed words,Decreased intensity or brightness of colors,Difficulty recognizing faces,A well-defined blurry spot or blind spot in your field of vision,,,,,,,,,
Wet macular degeneration,Wet macular degeneration care at Mayo Clinic,Wet age-related macular degeneration symptoms,The need for brighter light when reading or doing close-up work,"Increased difficulty adapting to low light levels, such as when entering a dimly lit restaurant",Increased blurriness of printed words,Decreased intensity or brightness of colors,Difficulty recognizing faces,A well-defined blurry spot or blind spot in your field of vision,,,,,,,,,
Soy allergy,Tingling in the mouth,"Hives; itching; or itchy, scaly skin (eczema)","Swelling of the lips, face, tongue and throat, or other body parts","Wheezing, a runny nose or breathing difficulty","Abdominal pain, diarrhea, nausea or vomiting",Skin redness (flushing),,,,,,,,,,,
Soy allergy,"Difficulty breathing, caused by throat swelling","Shock, with a severe drop in blood pressure",Rapid pulse,"Dizziness, lightheadedness or loss of consciousness","Abdominal pain, diarrhea, nausea or vomiting",Skin redness (flushing),,,,,,,,,,,
Soy allergy,Difficulty breathing,"Rapid, weak pulse",Dizziness or lightheadedness,Drooling and inability to swallow,Full-body redness and warmth (flushing),Skin redness (flushing),,,,,,,,,,,
Arteriosclerosis / atherosclerosis,"If you have atherosclerosis in your heart arteries, you may have symptoms, such as chest pain or pressure (angina).","If you have atherosclerosis in the arteries leading to your brain, you may have signs and symptoms such as sudden numbness or weakness in your arms or legs, difficulty speaking or slurred speech, temporary loss of vision in one eye, or drooping muscles in your face. These signal a transient ischemic attack (TIA), which, if left untreated, may progress to a stroke.","If you have atherosclerosis in the arteries in your arms and legs, you may have signs or symptoms of peripheral artery disease, such as leg pain when walking (claudication) or decreased blood pressure in an affected limb.","If you have atherosclerosis in the arteries leading to your kidneys, you develop high blood pressure or kidney failure.",,,,,,,,,,,,,
Congenital heart disease in adults,Abnormal heart rhythms (arrhythmias),"A bluish tint to the skin, lips and fingernails (cyanosis)",Shortness of breath,Tiring quickly upon exertion,Swelling of body tissue or organs (edema),,,,,,,,,,,,
Nicotine dependence,"You can't stop smoking. You've made one or more serious, but unsuccessful, attempts to stop.","You have withdrawal symptoms when you try to stop. Your attempts at stopping have caused physical and mood-related symptoms, such as strong cravings, anxiety, irritability, restlessness, difficulty concentrating, depressed mood, frustration, anger, increased hunger, insomnia, constipation or diarrhea.","You keep smoking despite health problems. Even though you've developed health problems with your lungs or your heart, you haven't been able to stop.",You give up social activities. You may stop going to smoke-free restaurants or stop socializing with family or friends because you can't smoke in these situations.,,,,,,,,,,,,,
Bird flu (avian influenza),Cough ,Fever,Sore throat ,Muscle aches ,Headache,Shortness of breath ,,,,,,,,,,,
Arteriovenous malformation,Progressive loss of neurological function,Headaches,Nausea and vomiting,Seizures,Loss of consciousness,,,,,,,,,,,,
Arteriovenous malformation,Weak muscles,Paralysis in one part of the body,Loss of coordination that can cause problems with gait,Problems performing tasks that require planning,Weakness in the lower extremities,Back pain,Dizziness,"Vision problems, including losing part of your field of vision, loss of control of eye movements, or swelling of part of the optic nerve",Problems with speech or understanding language,"Unusual sensations including numbness, tingling or sudden pain",Memory loss or dementia,Hallucinations,Confusion,,,,
Arteriovenous malformation,A buildup of fluid in the brain (hydrocephalus) that causes enlargement of the head,Swollen veins on the scalp,Seizures,Failure to thrive,Congestive heart failure,Back pain,Dizziness,"Vision problems, including losing part of your field of vision, loss of control of eye movements, or swelling of part of the optic nerve",Problems with speech or understanding language,"Unusual sensations including numbness, tingling or sudden pain",Memory loss or dementia,Hallucinations,Confusion,,,,
ACL injury,"A loud pop or a ""popping"" sensation in the knee",Severe pain and inability to continue activity,Rapid swelling,Loss of range of motion,"A feeling of instability or ""giving way"" with weight bearing",,,,,,,,,,,,
Addison's disease,Extreme fatigue,Weight loss and decreased appetite,Darkening of your skin (hyperpigmentation),"Low blood pressure, even fainting",Salt craving,Low blood sugar (hypoglycemia),"Nausea, diarrhea or vomiting (gastrointestinal symptoms)",Abdominal pain,Muscle or joint pains,Irritability,Depression or other behavioral symptoms,Body hair loss or sexual dysfunction in women,,,,,
Addison's disease,Severe weakness,Confusion,Pain in your lower back or legs,"Severe abdominal pain, vomiting and diarrhea, leading to dehydration",Reduced consciousness or delirium,Low blood sugar (hypoglycemia),"Nausea, diarrhea or vomiting (gastrointestinal symptoms)",Abdominal pain,Muscle or joint pains,Irritability,Depression or other behavioral symptoms,Body hair loss or sexual dysfunction in women,,,,,
Addison's disease,Low blood pressure,High potassium (hyperkalemia) and low sodium (hyponatremia),Pain in your lower back or legs,"Severe abdominal pain, vomiting and diarrhea, leading to dehydration",Reduced consciousness or delirium,Low blood sugar (hypoglycemia),"Nausea, diarrhea or vomiting (gastrointestinal symptoms)",Abdominal pain,Muscle or joint pains,Irritability,Depression or other behavioral symptoms,Body hair loss or sexual dysfunction in women,,,,,
Addison's disease,Darkening areas of skin (hyperpigmentation),Severe fatigue,Unintentional weight loss,"Gastrointestinal problems, such as nausea, vomiting and abdominal pain",Lightheadedness or fainting,Salt cravings,Muscle or joint pains,Abdominal pain,Muscle or joint pains,Irritability,Depression or other behavioral symptoms,Body hair loss or sexual dysfunction in women,,,,,
Addison's disease,Salt craving: A symptom of Addison's disease?,Severe fatigue,Unintentional weight loss,"Gastrointestinal problems, such as nausea, vomiting and abdominal pain",Lightheadedness or fainting,Salt cravings,Muscle or joint pains,Abdominal pain,Muscle or joint pains,Irritability,Depression or other behavioral symptoms,Body hair loss or sexual dysfunction in women,,,,,
Amnesia,Difficulty learning new information following the onset of amnesia (anterograde amnesia),Difficulty remembering past events and previously familiar information (retrograde amnesia),,,,,,,,,,,,,,,
Amnesia,"False memories (confabulation), either completely invented or made up of genuine memories misplaced in time",Confusion or disorientation,,,,,,,,,,,,,,,
Juvenile idiopathic arthritis,"Pain. While your child might not complain of joint pain, you may notice that he or she limps — especially first thing in the morning or after a nap.",Swelling. Joint swelling is common but is often first noticed in larger joints such as the knee.,"Stiffness. You might notice that your child appears clumsier than usual, particularly in the morning or after naps.","Fever, swollen lymph nodes and rash. In some cases, high fever, swollen lymph nodes or a rash on the trunk may occur — which is usually worse in the evenings.",,,,,,,,,,,,,
Generalized anxiety disorder,Persistent worrying or anxiety about a number of areas that are out of proportion to the impact of the events,Overthinking plans and solutions to all possible worst-case outcomes,"Perceiving situations and events as threatening, even when they aren't",Difficulty handling uncertainty,Indecisiveness and fear of making the wrong decision,Inability to set aside or let go of a worry,"Inability to relax, feeling restless, and feeling keyed up or on edge","Difficulty concentrating, or the feeling that your mind ""goes blank""",,,,,,,,,
Generalized anxiety disorder,Fatigue,Trouble sleeping,Muscle tension or muscle aches,"Trembling, feeling twitchy",Nervousness or being easily startled,Sweating,"Nausea, diarrhea or irritable bowel syndrome",Irritability,,,,,,,,,
Generalized anxiety disorder,Performance at school or sporting events,Family members' safety,Being on time (punctuality),"Earthquakes, nuclear war or other catastrophic events",Nervousness or being easily startled,Sweating,"Nausea, diarrhea or irritable bowel syndrome",Irritability,,,,,,,,,
Generalized anxiety disorder,Feel overly anxious to fit in,Be a perfectionist,Redo tasks because they aren't perfect the first time,Spend excessive time doing homework,Lack confidence,Strive for approval,Require a lot of reassurance about performance,Have frequent stomachaches or other physical complaints,Avoid going to school or avoid social situations,,,,,,,,
Generalized anxiety disorder,"You feel like you're worrying too much, and it's interfering with your work, relationships or other parts of your life","You feel depressed or irritable, have trouble with drinking or drugs, or you have other mental health concerns along with anxiety",You have suicidal thoughts or behaviors — seek emergency treatment immediately,Spend excessive time doing homework,Lack confidence,Strive for approval,Require a lot of reassurance about performance,Have frequent stomachaches or other physical complaints,Avoid going to school or avoid social situations,,,,,,,,
Aphasia,Speak in short or incomplete sentences,Speak in sentences that don't make sense,Substitute one word for another or one sound for another,Speak unrecognizable words,Not understand other people's conversation,Write sentences that don't make sense,,,,,,,,,,,
Aphasia,"
Expressive aphasia. This is also called Broca's or nonfluent aphasia. People with this pattern of aphasia may understand what other people say better than they can speak. People with this pattern of aphasia struggle to get words out, speak in very short sentences and omit words. A person might say, ""Want food"" or ""Walk park today.""
A listener can usually understand the meaning, but people with this aphasia pattern are often aware of their difficulty communicating and may get frustrated. They may also have right-sided paralysis or weakness.
","Comprehensive aphasia. People with this pattern of aphasia (also called fluent or Wernicke's aphasia) may speak easily and fluently in long, complex sentences that don't make sense or include unrecognizable, incorrect or unnecessary words. They usually don't understand spoken language well and often don't realize that others can't understand them.",Global aphasia. This aphasia pattern is characterized by poor comprehension and difficulty forming words and sentences. Global aphasia results from extensive damage to the brain's language networks. People with global aphasia have severe disabilities with expression and comprehension.,Speak unrecognizable words,Not understand other people's conversation,Write sentences that don't make sense,,,,,,,,,,,
Aphasia,Difficulty speaking,Trouble understanding speech,Difficulty with word recall,Problems with reading or writing,Not understand other people's conversation,Write sentences that don't make sense,,,,,,,,,,,
Aspergillosis,Fever,A cough that may bring up blood or plugs of mucus,Worsening asthma,,,,,,,,,,,,,,
Aspergillosis,A cough that often brings up blood (hemoptysis),Wheezing,Shortness of breath,Unintentional weight loss,Fatigue,,,,,,,,,,,,
Aspergillosis,Fever and chills,A cough that brings up blood (hemoptysis),Shortness of breath,Chest or joint pain,Headaches or eye symptoms,Skin lesions,,,,,,,,,,,
Actinic keratosis,"Rough, dry or scaly patch of skin, usually less than 1 inch (2.5 centimeters) in diameter",Flat to slightly raised patch or bump on the top layer of skin,"In some cases, a hard, wartlike surface","Color variations, including pink, red or brown","Itching, burning, bleeding or crusting","New patches or bumps on sun-exposed areas of the head, neck, hands and forearms",,,,,,,,,,,
Viral hemorrhagic fevers,Fever,"Fatigue, weakness or general feeling of being unwell",Dizziness,"Muscle, bone or joint aches",Nausea and vomiting,Diarrhea,,,,,,,,,,,
Viral hemorrhagic fevers,"Bleeding under the skin, in internal organs, or from the mouth, eyes or ears",Nervous system malfunctions,Coma,Delirium,Kidney failure,Respiratory failure,Liver failure,,,,,,,,,,
Atrial fibrillation,"Palpitations, which are sensations of a racing, uncomfortable, irregular heartbeat or a flip-flopping in your chest",Weakness,Reduced ability to exercise,Fatigue,Lightheadedness,Dizziness,Shortness of breath,Chest pain,,,,,,,,,
Atrial fibrillation,"Occasional. In this case it's called paroxysmal (par-ok-SIZ-mul) atrial fibrillation. You may have symptoms that come and go, usually lasting for a few minutes to hours. Sometimes symptoms occur for as long as a week and episodes can happen repeatedly. Your symptoms might go away on their own or you may need treatment.","Persistent. With this type of atrial fibrillation, your heart rhythm doesn't go back to normal on its own. If you have persistent atrial fibrillation, you'll need treatment such as an electrical shock or medications in order to restore your heart rhythm.",Long-standing persistent. This type of atrial fibrillation is continuous and lasts longer than 12 months.,"Permanent. In this type of atrial fibrillation, the abnormal heart rhythm can't be restored. You'll have atrial fibrillation permanently, and you'll often require medications to control your heart rate and to prevent blood clots.",Lightheadedness,Dizziness,Shortness of breath,Chest pain,,,,,,,,,
Amenorrhea,Milky nipple discharge,Hair loss,Headache,Vision changes,Excess facial hair,Pelvic pain,Acne,,,,,,,,,,
Reactive arthritis,"Pain and stiffness. The joint pain associated with reactive arthritis most commonly occurs in your knees, ankles and feet. You also might have pain in your heels, low back or buttocks.",Eye inflammation. Many people who have reactive arthritis also develop eye inflammation (conjunctivitis).,"Urinary problems. Increased frequency and discomfort during urination may occur, as can inflammation of the prostate gland or cervix.","Inflammation of soft tissue where it enters bone (enthesitis). This might include muscles, tendons and ligaments.","Swollen toes or fingers. In some cases, your toes or fingers might become so swollen that they resemble sausages.","Skin problems. Reactive arthritis can affect your skin a variety of ways, including a rash on your soles and palms and mouth sores.",Low back pain. The pain tends to be worse at night or in the morning.,,,,,,,,,,
Canker sore,Are usually small,Are oval shaped with a red edge,Heal without scarring in one to two weeks,,,,,,,,,,,,,,
Canker sore,Are larger and deeper than minor canker sores,"Are usually round with defined borders, but may have irregular edges when very large",Can be extremely painful,May take up to six weeks to heal and can leave extensive scarring,,,,,,,,,,,,,
Canker sore,Are pinpoint size,"Often occur in clusters of 10 to 100 sores, but may merge into one large ulcer",Have irregular edges,Heal without scarring in one to two weeks,,,,,,,,,,,,,
Canker sore,Unusually large canker sores,"Recurring sores, with new ones developing before old ones heal, or frequent outbreaks","Persistent sores, lasting two weeks or more",Sores that extend into the lips themselves (vermilion border),Pain that you can't control with self-care measures,Extreme difficulty eating or drinking,High fever along with canker sores,,,,,,,,,,
Atrial septal defect (ASD),"Shortness of breath, especially when exercising",Fatigue,"Swelling of legs, feet or abdomen",Heart palpitations or skipped beats,Stroke,"Heart murmur, a whooshing sound that can be heard through a stethoscope",,,,,,,,,,,
Atrial septal defect (ASD),Shortness of breath,"Easy tiring, especially after activity","Swelling of legs, feet or abdomen",Heart palpitations or skipped beats,Stroke,"Heart murmur, a whooshing sound that can be heard through a stethoscope",,,,,,,,,,,
Asthma attack,"Severe shortness of breath, chest tightness or pain, and coughing or wheezing","Low peak expiratory flow (PEF) readings, if you use a peak flow meter",Symptoms that fail to respond to use of a quick-acting (rescue) inhaler,,,,,,,,,,,,,,
Asthma attack,"Severe breathlessness or wheezing, especially at night or in the early morning",The inability to speak more than short phrases due to shortness of breath,Having to strain your chest muscles to breathe,Low peak flow readings when you use a peak flow meter,No improvement after using a quick-acting (rescue) inhaler,,,,,,,,,,,,
Asthma attack,Asthma attack video,The inability to speak more than short phrases due to shortness of breath,Having to strain your chest muscles to breathe,Low peak flow readings when you use a peak flow meter,No improvement after using a quick-acting (rescue) inhaler,,,,,,,,,,,,
Acute coronary syndrome,"Chest pain (angina) or discomfort, often described as aching, pressure, tightness or burning","Pain spreading from the chest to the shoulders, arms, upper abdomen, back, neck or jaw",Nausea or vomiting,Indigestion,Shortness of breath (dyspnea),"Sudden, heavy sweating (diaphoresis)","Lightheadedness, dizziness or fainting",Unusual or unexplained fatigue,Feeling restless or apprehensive,,,,,,,,
Thalassemia,Fatigue,Weakness,Pale or yellowish skin,Facial bone deformities,Slow growth,Abdominal swelling,Dark urine,,,,,,,,,,
Anal cancer,Bleeding from the anus or rectum,Pain in the area of the anus,A mass or growth in the anal canal,Anal itching,,,,,,,,,,,,,
Atypical depression,Depression that temporarily lifts in response to good news or positive events,Increased appetite or weight gain,Sleeping too much but still feeling sleepy in the daytime,"Heavy, leaden feeling in your arms or legs that lasts an hour or more in a day","Sensitivity to rejection or criticism, which affects your relationships, social life or job",,,,,,,,,,,,
Atypical depression,Call your mental health professional.,"Call a suicide hotline. In the U.S., call the National Suicide Prevention Lifeline at 1-800-273-TALK (1-800-273-8255) or use their webchat on suicidepreventionlifeline.org/chat.",Seek help from your primary doctor or other health care provider.,Reach out to a close friend or loved one.,"Contact a minister, spiritual leader or someone else in your faith community.",,,,,,,,,,,,
